id;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;hydroxyproline;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
6703;"Fast Food, regular crust, sausage topping, 14"" pizza, Pizza Chain";100 g;280;12g;5g;23mg;633.00 mg;26.3 mg;88.00 mcg;53.00 mcg;3.800 mg;0;0.190 mg;0.345 mg;352.00 IU;68.00 mcg;0.00 mcg;91.00 mcg;0.00 mcg;23.00 mcg;0;0.48 mcg;0.080 mg;1.7 mg;0.00 IU;0.91 mg;0.91 mg;6.7 mcg;144.00 mg;0.111 mg;2.41 mg;24.00 mg;0.352 mg;193.00 mg;197.00 mg;20.3 mcg;1.32 mg;11.50 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.62 g;2.3 g;3.32 g;1.00 g;0.09 g;0.80 g;0.30 g;0.93 g;0.20 g;12.35 g;5.033 g;4.049 g;2.352 g;23.00 mg;0.0 g;2.47 g;0.00 mg;0.00 mg;43.06 g
8650;"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, outside skirt steak, plate";100 g;233;14g;6g;91mg;94.00 mg;92.1 mg;8.00 mcg;0.00 mcg;4.331 mg;0;0.195 mg;0.119 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;4.30 mcg;0.495 mg;0.0 mg;0;0.11 mg;0.11 mg;0;10.00 mg;0.089 mg;2.66 mg;25.00 mg;0;221.00 mg;393.00 mg;18.7 mcg;5.72 mg;24.18 g;1.462 g;1.629 g;2.410 g;0.260 g;3.876 g;1.150 g;0.779 g;0.112 g;1.249 g;2.138 g;2.269 g;0.686 g;1.048 g;1.022 g;0.970 g;1.118 g;0.261 g;0.886 g;1.308 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;14.37 g;5.970 g;7.380 g;0.600 g;91.00 mg;0.0 g;0.95 g;0.00 mg;0.00 mg;59.17 g
5772;Snacks, original flavor, Multigrain Snack, SUNCHIPS, FRITOLAY;100 g;491;21g;2.2g;0;423.00 mg;14.8 mg;25.00 mcg;8.00 mcg;2.100 mg;0.900 mg;0.020 mg;0.140 mg;65.00 IU;3.00 mcg;19.00 mcg;29.00 mcg;0.00 mcg;441.00 mcg;0;0.00 mcg;0.200 mg;0.0 mg;0.00 IU;7.04 mg;7.04 mg;2.4 mcg;20.00 mg;0.227 mg;1.74 mg;76.00 mg;1.310 mg;222.00 mg;232.00 mg;12.2 mcg;1.65 mg;7.95 g;0.430 g;0.340 g;0.610 g;0.120 g;1.970 g;0.350 g;0.160 g;0.000 g;0.180 g;0.880 g;0.200 g;0.150 g;0.340 g;0.700 g;0.500 g;0.230 g;0.070 g;0.170 g;0.280 g;67.26 g;8.8 g;7.20 g;0.13 g;0.00 g;0.16 g;0.00 g;0.00 g;6.90 g;21.11 g;2.166 g;11.501 g;6.513 g;0.00 mg;0.0 g;1.63 g;0.00 mg;0.00 mg;2.04 g
1384;Sauce, ready-to-serve, verde, salsa;100 g;38;0.9g;;0;600.00 mg;7.9 mg;8.00 mcg;0.00 mcg;1.615 mg;0.154 mg;0.036 mg;0.046 mg;217.00 IU;11.00 mcg;10.00 mcg;123.00 mcg;5.00 mcg;422.00 mcg;0;0.00 mcg;0.083 mg;12.3 mg;0.00 IU;0.43 mg;0.43 mg;13.6 mcg;9.00 mg;0.081 mg;0.65 mg;19.00 mg;0.156 mg;41.00 mg;259.00 mg;0.8 mcg;0.25 mg;1.13 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.36 g;1.9 g;3.50 g;0;0;0;0;0;0;0.89 g;0.000 g;0.000 g;0.000 g;0.00 mg;0.0 g;2.10 g;0.00 mg;0.00 mg;89.52 g
747;Lemon grass (citronella), raw;100 g;99;0.5g;0.1g;0;6.00 mg;0;75.00 mcg;0.00 mcg;1.101 mg;0.050 mg;0.135 mg;0.065 mg;6.00 IU;0.00 mcg;0.00 mcg;3.00 mcg;0.00 mcg;0;0;0.00 mcg;0.080 mg;2.6 mg;0.00 IU;0;0;0;65.00 mg;0.266 mg;8.17 mg;60.00 mg;5.224 mg;101.00 mg;723.00 mg;0.7 mcg;2.23 mg;1.82 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.31 g;0;0;0;0;0;0;0;0;0.49 g;0.119 g;0.054 g;0.170 g;0.00 mg;0.0 g;1.80 g;0;0;70.58 g
5444;Pork, raw, separable lean and fat, boneless, Shoulder breast;100 g;127;3.4g;1.1g;60mg;54.00 mg;88.9 mg;0.00 mcg;0.00 mcg;9.602 mg;0.982 mg;0.465 mg;0.645 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.87 mcg;0.722 mg;0.0 mg;0;0.08 mg;0.08 mg;0.0 mcg;7.00 mg;0.076 mg;0.89 mg;26.00 mg;0.014 mg;229.00 mg;378.00 mg;25.8 mcg;1.95 mg;22.54 g;1.291 g;1.453 g;2.109 g;0.254 g;3.444 g;1.019 g;0.917 g;0.079 g;1.068 g;1.856 g;2.005 g;0.618 g;0.937 g;0.912 g;0.942 g;0.991 g;0.268 g;0.893 g;1.140 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;3.40 g;1.074 g;1.473 g;0.488 g;60.00 mg;0.0 g;1.07 g;0.00 mg;0.00 mg;74.37 g
8137;Infant formula, 24 calories ready-to-feed Low iron, Premature, ENFAMIL, MEAD JOHNSON;100 g;67;3.3g;1.3g;0;38.00 mg;13.2 mg;26.00 mcg;26.00 mcg;2.623 mg;0.787 mg;0.197 mg;0.131 mg;828.00 IU;248.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.16 mcg;0.098 mg;13.1 mg;157.00 IU;1.86 mg;1.86 mg;5.2 mcg;108.00 mg;0.079 mg;0.33 mg;6.00 mg;0.004 mg;54.00 mg;64.00 mg;1.8 mcg;0.98 mg;1.97 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.19 g;0.0 g;7.21 g;0;0;0;0;0;0;3.34 g;1.339 g;0.850 g;1.169 g;0.00 mg;0.0 g;0.27 g;0.00 mg;0.00 mg;87.23 g
1343;Nuts, raw, cashew nuts;100 g;553;44g;7.8g;0;12.00 mg;0;25.00 mcg;0.00 mcg;1.062 mg;0.864 mg;0.058 mg;0.423 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;22.00 mcg;0;0.00 mcg;0.417 mg;0.5 mg;0.00 IU;0.90 mg;0.90 mg;34.1 mcg;37.00 mg;2.195 mg;6.68 mg;292.00 mg;1.655 mg;593.00 mg;660.00 mg;19.9 mcg;5.78 mg;18.22 g;0.837 g;2.123 g;1.795 g;0.393 g;4.506 g;0.937 g;0.456 g;0;0.789 g;1.472 g;0.928 g;0.362 g;0.951 g;0.812 g;1.079 g;0.688 g;0.287 g;0.508 g;1.094 g;30.19 g;3.3 g;5.91 g;0.05 g;0.00 g;0.05 g;0.00 g;0.00 g;5.81 g;43.85 g;7.783 g;23.797 g;7.845 g;0.00 mg;0;2.54 g;0;0;5.20 g
2582;Guava nectar, canned, with sucralose;100 g;48;0.1g;;0;6.00 mg;1.1 mg;4.00 mcg;0.00 mcg;0.170 mg;0;0.005 mg;0.005 mg;49.00 IU;2.00 mcg;0.00 mcg;29.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.009 mg;21.3 mg;0.00 IU;0.06 mg;0.06 mg;1.0 mcg;8.00 mg;0.025 mg;0.54 mg;2.00 mg;0.058 mg;3.00 mg;33.00 mg;0.1 mcg;0.02 mg;0.30 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.30 g;1.2 g;10.15 g;0;0;0;0;0;0;0.07 g;0.023 g;0.020 g;0.017 g;0.00 mg;0.0 g;0.09 g;0.00 mg;0.00 mg;86.23 g
8099;Pork, unheated, separable lean and fat, bone-in, rump, ham with natural juices, cured;100 g;200;13g;4.4g;67mg;838.00 mg;88.1 mg;1.00 mcg;0.00 mcg;6.310 mg;0.371 mg;0.185 mg;0.259 mg;36.00 IU;11.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.47 mcg;0.306 mg;0.0 mg;0;0.34 mg;0.34 mg;0.0 mcg;8.00 mg;0.107 mg;0.94 mg;19.00 mg;0.022 mg;231.00 mg;278.00 mg;36.0 mcg;2.15 mg;19.70 g;1.165 g;1.256 g;1.715 g;0.222 g;2.805 g;1.065 g;0.858 g;0.149 g;0.882 g;1.566 g;1.645 g;0.466 g;0.784 g;0.855 g;0.769 g;0.873 g;0.182 g;0.631 g;0.992 g;0.43 g;0.0 g;0.43 g;0.12 g;0.00 g;0.26 g;0.00 g;0.00 g;0.05 g;13.26 g;4.373 g;6.030 g;1.830 g;67.00 mg;0.0 g;2.76 g;0.00 mg;0.00 mg;63.86 g
7713;Lamb, fast roasted, cooked, separable lean only, rack - partly frenched, imported, New Zealand;100 g;193;11g;3.7g;76mg;72.00 mg;94.4 mg;0.00 mcg;0.00 mcg;6.705 mg;0.394 mg;0.202 mg;0.060 mg;14.00 IU;4.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.24 mcg;0.170 mg;0.0 mg;1.00 IU;0.37 mg;0.37 mg;3.5 mcg;22.00 mg;0.120 mg;1.65 mg;24.00 mg;0.010 mg;209.00 mg;323.00 mg;4.3 mcg;2.89 mg;24.43 g;1.214 g;1.644 g;0;0.320 g;3.412 g;1.044 g;0.517 g;0;1.093 g;1.886 g;2.133 g;0.797 g;0.962 g;0.783 g;0.833 g;1.165 g;0.270 g;0.846 g;1.244 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;10.63 g;3.664 g;2.601 g;0.503 g;76.00 mg;0.0 g;1.09 g;0.00 mg;0.00 mg;64.96 g
3315;Babyfood, toddler, beef and rice, dinner;100 g;82;2.9g;;0;32.00 mg;0;6.00 mcg;0.00 mcg;1.343 mg;0;0.069 mg;0.016 mg;502.00 IU;25.00 mcg;0;0;0;0;0;0.51 mcg;0.139 mg;3.9 mg;0;0;0;0;11.00 mg;0.054 mg;0.69 mg;8.00 mg;0;35.00 mg;120.00 mg;8.4 mcg;0.92 mg;5.00 g;0.339 g;0.338 g;0.464 g;0.054 g;0.870 g;0.364 g;0.128 g;0;0.245 g;0.392 g;0.376 g;0.123 g;0.197 g;0.306 g;0.179 g;0.200 g;0.046 g;0.161 g;0.275 g;8.80 g;0;0.00 g;0;0;0;0;0;0;2.90 g;0;0;0;0;0;1.40 g;0;0;81.90 g
3466;Lentils, with salt, boiled, cooked, mature seeds;100 g;114;0.4g;0.1g;0;238.00 mg;32.7 mg;181.00 mcg;0.00 mcg;1.060 mg;0.638 mg;0.073 mg;0.169 mg;8.00 IU;0.00 mcg;0.00 mcg;5.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.178 mg;1.5 mg;0.00 IU;0.11 mg;0.11 mg;1.7 mcg;19.00 mg;0.251 mg;3.33 mg;36.00 mg;0.494 mg;180.00 mg;369.00 mg;2.8 mcg;1.27 mg;9.02 g;0.377 g;0.697 g;0.998 g;0.118 g;1.399 g;0.367 g;0.254 g;0;0.390 g;0.654 g;0.630 g;0.077 g;0.445 g;0.377 g;0.416 g;0.323 g;0.081 g;0.241 g;0.448 g;19.54 g;7.9 g;1.80 g;0;0;0;0;0;0;0.38 g;0.053 g;0.064 g;0.175 g;0.00 mg;0;1.42 g;0;0;69.64 g
7650;"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, t-bone steak, short loin";100 g;198;9.6g;3.3g;83mg;71.00 mg;99.0 mg;8.00 mcg;0.00 mcg;4.630 mg;0.330 mg;0.250 mg;0.110 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.27 mcg;0.390 mg;0.0 mg;0;0.14 mg;0.14 mg;0;4.00 mg;0.143 mg;3.66 mg;26.00 mg;0.016 mg;215.00 mg;327.00 mg;10.0 mcg;5.11 mg;25.98 g;1.570 g;1.642 g;2.590 g;0.291 g;4.165 g;1.417 g;0.838 g;0.120 g;1.342 g;2.297 g;2.161 g;0.665 g;1.127 g;1.147 g;0.993 g;1.201 g;0.291 g;0.873 g;1.264 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;9.61 g;3.270 g;4.645 g;0.320 g;83.00 mg;0.0 g;1.17 g;0.00 mg;0.00 mg;62.50 g
3371;Sea lion, heart (Alaska Native), Steller;100 g;102;3.3g;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00 g;0;0;0;0;0;0;0;0;3.30 g;0;0;0;0;0;1.00 g;0;0;76.20 g
8585;"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib";100 g;323;25g;10g;83mg;64.00 mg;0;6.00 mcg;0.00 mcg;3.190 mg;0.240 mg;0.160 mg;0.060 mg;0.00 IU;0.00 mcg;0;0;0;0;0;2.90 mcg;0.240 mg;0.0 mg;0;0;0;0;13.00 mg;0.078 mg;2.44 mg;20.00 mg;0.014 mg;185.00 mg;328.00 mg;22.0 mcg;5.00 mg;22.76 g;1.373 g;1.439 g;2.079 g;0.255 g;3.420 g;1.242 g;0.779 g;0;1.023 g;1.799 g;1.894 g;0.583 g;0.889 g;1.005 g;0.870 g;0.994 g;0.255 g;0.765 g;1.107 g;0.00 g;0.0 g;0;0;0;0;0;0;0;25.02 g;10.050 g;10.810 g;0.910 g;83.00 mg;0;1.12 g;0;0;50.84 g
4863;Bread, frozen, commercially prepared, whole wheat, paratha;100 g;326;13g;5.8g;1mg;452.00 mg;6.3 mg;10.00 mcg;0.00 mcg;1.830 mg;0.465 mg;0.076 mg;0.110 mg;6.00 IU;2.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;12.00 mcg;0;0.00 mcg;0.080 mg;0.0 mg;0.00 IU;1.35 mg;1.35 mg;3.4 mcg;25.00 mg;0.146 mg;1.61 mg;37.00 mg;1.054 mg;120.00 mg;139.00 mg;7.1 mcg;0.82 mg;6.36 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.35 g;9.6 g;4.15 g;0.35 g;0.00 g;0.35 g;0.00 g;1.70 g;1.75 g;13.20 g;5.826 g;3.837 g;2.484 g;1.00 mg;0.0 g;1.59 g;0.00 mg;0.00 mg;33.50 g
5633;Soup, prepared with equal volume water, canned, chicken noodle;100 g;24;0.8g;0.2g;4mg;335.00 mg;5.5 mg;7.00 mcg;5.00 mcg;0.598 mg;0.053 mg;0.034 mg;0.039 mg;201.00 IU;11.00 mcg;0.00 mcg;119.00 mcg;0.00 mcg;4.00 mcg;0;0.06 mcg;0.021 mg;0.0 mg;0.00 IU;0.03 mg;0.03 mg;0.0 mcg;5.00 mg;0.018 mg;0.33 mg;4.00 mg;0.048 mg;18.00 mg;24.00 mg;3.1 mcg;0.14 mg;1.16 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.97 g;0.5 g;0.00 g;0;0;0;0;0;0;0.76 g;0.191 g;0.262 g;0.166 g;4.00 mg;0.0 g;0.94 g;0.00 mg;0.00 mg;94.17 g
3035;KEEBLER, Iced Lemonade Cookies, TRADITIONS;100 g;502;24g;8g;7mg;262.00 mg;0;85.00 mcg;0;2.800 mg;0;0.220 mg;0.320 mg;0;0;0;0;0;0;0;0;0.010 mg;0;0;0;0;0;0;0;2.40 mg;9.00 mg;0;60.00 mg;60.00 mg;0;0.30 mg;4.50 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.30 g;1.0 g;29.90 g;0;0;0;0;0;0;24.40 g;8.000 g;5.500 g;9.000 g;7.00 mg;0;0;0;0;3.40 g
1104;Lupins, raw, mature seeds;100 g;371;9.7g;1.2g;0;15.00 mg;0;355.00 mcg;0.00 mcg;2.190 mg;0.750 mg;0.220 mg;0.640 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.357 mg;4.8 mg;0.00 IU;0;0;0;176.00 mg;1.022 mg;4.36 mg;198.00 mg;2.382 mg;440.00 mg;1013.00 mg;8.2 mcg;4.75 mg;36.17 g;1.296 g;3.877 g;3.877 g;0.446 g;8.686 g;1.539 g;1.030 g;0;1.615 g;2.743 g;1.933 g;0.255 g;1.435 g;1.476 g;1.869 g;1.331 g;0.289 g;1.360 g;1.510 g;40.37 g;18.9 g;0;0;0;0;0;0;0;9.74 g;1.156 g;3.940 g;2.439 g;0.00 mg;0.0 g;3.28 g;0.00 mg;0.00 mg;10.44 g
3742;Kohlrabi, without salt, drained, boiled, cooked;100 g;29;0.1g;;0;21.00 mg;13.2 mg;12.00 mcg;0.00 mcg;0.390 mg;0.160 mg;0.020 mg;0.040 mg;35.00 IU;2.00 mcg;0.00 mcg;21.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.154 mg;54.0 mg;0.00 IU;0.52 mg;0.52 mg;0.1 mcg;25.00 mg;0.132 mg;0.40 mg;19.00 mg;0.142 mg;45.00 mg;340.00 mg;0.8 mcg;0.31 mg;1.80 g;0;0.111 g;0;0.007 g;0;0;0.020 g;0;0.083 g;0.071 g;0.059 g;0.014 g;0.041 g;0;0;0.052 g;0.011 g;0;0.053 g;6.69 g;1.1 g;2.80 g;0;0;0;0;0;0;0.11 g;0.014 g;0.008 g;0.053 g;0.00 mg;0.0 g;1.10 g;0.00 mg;0.00 mg;90.30 g
5550;Wheat flour, enriched, bleached, 9% protein, white (industrial);100 g;367;1.4g;0.3g;0;2.00 mg;10.4 mg;170.00 mcg;140.00 mcg;5.953 mg;0.187 mg;0.445 mg;0.736 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;18.00 mcg;0;0.00 mcg;0.037 mg;0.0 mg;0.00 IU;0.05 mg;0.05 mg;0.3 mcg;20.00 mg;0.165 mg;5.06 mg;20.00 mg;0.628 mg;85.00 mg;131.00 mg;11.4 mcg;0.94 mg;8.89 g;0.261 g;0.313 g;0.360 g;0.226 g;2.736 g;0.296 g;0.177 g;0;0.306 g;0.584 g;0.239 g;0.127 g;0.373 g;0.931 g;0.375 g;0.229 g;0.095 g;0.112 g;0.363 g;77.32 g;0;0.54 g;0.03 g;0.00 g;0.03 g;0.00 g;0.22 g;0.26 g;1.43 g;0.340 g;0.120 g;0.602 g;0.00 mg;0.0 g;0.51 g;0.00 mg;0.00 mg;11.85 g
6617;Apricots, solids and liquids, with skin, light syrup pack, canned;100 g;63;0.1g;;0;4.00 mg;1.8 mg;2.00 mcg;0.00 mcg;0.304 mg;0.092 mg;0.020 mg;0.016 mg;1322.00 IU;66.00 mcg;0.00 mcg;789.00 mcg;7.00 mcg;26.00 mcg;0;0.00 mcg;0.054 mg;2.7 mg;0.00 IU;0.60 mg;0.60 mg;2.2 mcg;11.00 mg;0.079 mg;0.39 mg;8.00 mg;0.052 mg;13.00 mg;138.00 mg;0.1 mcg;0.11 mg;0.53 g;0.026 g;0.021 g;0.122 g;0.002 g;0.054 g;0.016 g;0.009 g;0;0.016 g;0.031 g;0.037 g;0.003 g;0.022 g;0.032 g;0.031 g;0.019 g;0.009 g;0.012 g;0.019 g;16.49 g;1.6 g;14.89 g;0;0;0;0;0;0;0.05 g;0.003 g;0.021 g;0.010 g;0.00 mg;0.0 g;0.37 g;0.00 mg;0.00 mg;82.56 g
7586;"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, bottom round roast, round";100 g;169;5.3g;1.9g;76mg;38.00 mg;107.7 mg;9.00 mcg;0.00 mcg;4.865 mg;0.557 mg;0.153 mg;0.068 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.45 mcg;0.373 mg;0.0 mg;0;0.36 mg;0.36 mg;1.3 mcg;6.00 mg;0.079 mg;2.35 mg;19.00 mg;0.010 mg;183.00 mg;238.00 mg;35.7 mcg;4.92 mg;28.29 g;1.720 g;1.829 g;2.576 g;0.365 g;4.246 g;1.722 g;0.903 g;0.297 g;1.287 g;2.250 g;2.390 g;0.737 g;1.117 g;1.348 g;1.114 g;1.130 g;0.186 g;0.901 g;1.403 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;5.33 g;1.860 g;2.247 g;0.199 g;76.00 mg;0.0 g;1.13 g;0.00 mg;0.00 mg;65.90 g
2918;Nuts, with salt added, oil roasted, almonds;100 g;607;55g;4.2g;0;339.00 mg;52.1 mg;27.00 mcg;0.00 mcg;3.665 mg;0.229 mg;0.781 mg;0.092 mg;1.00 IU;0.00 mcg;0.00 mcg;1.00 mcg;0.00 mcg;1.00 mcg;0;0.00 mcg;0.118 mg;0.0 mg;0.00 IU;25.97 mg;25.97 mg;0.0 mcg;291.00 mg;0.955 mg;3.68 mg;274.00 mg;2.460 mg;466.00 mg;699.00 mg;4.1 mcg;3.07 mg;21.23 g;0.999 g;2.463 g;2.729 g;0.282 g;5.165 g;1.466 g;0.592 g;0;0.691 g;1.467 g;0.600 g;0.188 g;1.146 g;0.967 g;1.004 g;0.677 g;0.192 g;0.529 g;0.798 g;17.68 g;10.5 g;4.55 g;0.00 g;0;0.04 g;0.00 g;0.14 g;4.38 g;55.17 g;4.208 g;34.793 g;13.519 g;0.00 mg;0.0 g;3.13 g;0.00 mg;0.00 mg;2.80 g
1474;Puddings, regular, dry mix, banana;100 g;366;0.4g;0.1g;0;788.00 mg;0;0.00 mcg;0.00 mcg;0.000 mg;0.000 mg;0.000 mg;0.000 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.000 mg;0.0 mg;0;0;0;0;20.00 mg;0.020 mg;0.05 mg;8.00 mg;0.013 mg;5.00 mg;17.00 mg;0.9 mcg;0.09 mg;0.00 g;0.003 g;0.002 g;0.003 g;0.001 g;0.007 g;0.001 g;0.001 g;0;0.001 g;0.005 g;0.001 g;0.001 g;0.002 g;0.003 g;0.002 g;0.001 g;0.000 g;0.001 g;0.002 g;93.00 g;0.3 g;74.32 g;0;0;0;0;0;0;0.40 g;0.090 g;0.030 g;0.160 g;0.00 mg;0;2.50 g;0.00 mg;0.00 mg;4.10 g
1490;MOTHER'S, Vanilla Sandwich Cookies;100 g;469;20g;7.3g;0;276.00 mg;0;84.00 mcg;0;2.900 mg;0;0.250 mg;0.360 mg;0;0;0;0;0;0;0;0;0.020 mg;0;0;0;0;0;0;0;2.50 mg;11.00 mg;0;55.00 mg;87.00 mg;0;0.50 mg;4.80 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.90 g;1.3 g;30.10 g;0;0;0;0;0;0;20.10 g;7.300 g;4.780 g;2.860 g;0.00 mg;0;0;0;0;2.40 g
8404;Lamb, braised, cooked, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand;100 g;357;26g;13g;123mg;51.00 mg;0;1.00 mcg;0.00 mcg;6.370 mg;0.520 mg;0.320 mg;0.080 mg;0.00 IU;0.00 mcg;0;0;0;0;0;3.40 mcg;0.070 mg;0.0 mg;0;0;0;0;27.00 mg;0.103 mg;2.11 mg;18.00 mg;0.025 mg;196.00 mg;147.00 mg;4.5 mcg;4.53 mg;28.21 g;1.697 g;1.676 g;2.483 g;0.337 g;4.094 g;1.378 g;0.894 g;0;1.361 g;2.194 g;2.491 g;0.724 g;1.148 g;1.183 g;1.049 g;1.207 g;0.330 g;0.948 g;1.522 g;0.00 g;0.0 g;0;0;0;0;0;0;0;26.27 g;12.740 g;10.220 g;1.330 g;123.00 mg;0;1.58 g;0;0;42.64 g
8432;"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin";100 g;276;19g;7.3g;67mg;65.00 mg;91.3 mg;7.00 mcg;0.00 mcg;4.210 mg;0.314 mg;0.228 mg;0.099 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.18 mcg;0.365 mg;0.0 mg;0;0.18 mg;0.18 mg;0;7.00 mg;0.130 mg;2.94 mg;22.00 mg;0.015 mg;193.00 mg;299.00 mg;19.6 mcg;4.56 mg;23.96 g;1.448 g;1.608 g;2.377 g;0.258 g;3.826 g;1.149 g;0.775 g;0.104 g;1.228 g;2.105 g;2.233 g;0.676 g;1.033 g;1.016 g;0.959 g;1.104 g;0.259 g;0.874 g;1.288 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;19.27 g;7.271 g;8.650 g;0.690 g;67.00 mg;0.0 g;1.17 g;0.00 mg;0.00 mg;54.66 g
6149;Fish, packed in oil (Alaska Native), air-dried, flesh, Pacific, herring;100 g;489;35g;;0;0;0;0;0;2.200 mg;0;0;0.010 mg;1300.00 IU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;684.00 mg;0;0;0;44.50 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00 g;0;0;0;0;0;0;0;0;34.60 g;0;0;0;0;0;2.70 g;0;0;18.20 g
3818;Tomato products, with mushrooms, sauce, canned;100 g;35;0.1g;;0;452.00 mg;0;9.00 mcg;0.00 mcg;1.265 mg;0.367 mg;0.108 mg;0.072 mg;955.00 IU;48.00 mcg;0.00 mcg;570.00 mcg;6.00 mcg;31.00 mcg;0;0.00 mcg;0.133 mg;12.4 mg;0;1.92 mg;1.92 mg;3.8 mcg;13.00 mg;0.199 mg;0.89 mg;19.00 mg;0.188 mg;32.00 mg;380.00 mg;0.2 mcg;0.21 mg;1.45 g;0.065 g;0.042 g;0.169 g;0.007 g;0.486 g;0.036 g;0.028 g;0;0.037 g;0.055 g;0.074 g;0.014 g;0.039 g;0.053 g;0.044 g;0.043 g;0.017 g;0.023 g;0.041 g;8.43 g;1.5 g;5.77 g;0;0;0;0;0;0;0.13 g;0.017 g;0.010 g;0.050 g;0.00 mg;0.0 g;2.02 g;0.00 mg;0.00 mg;87.97 g
2939;Beans, raw, mature seeds, royal red, kidney;100 g;329;0.5g;0.1g;0;13.00 mg;0;393.00 mcg;0.00 mcg;2.106 mg;0.779 mg;0.240 mg;0.390 mg;8.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.396 mg;4.5 mg;0.00 IU;0;0;0;131.00 mg;1.000 mg;8.70 mg;138.00 mg;1.109 mg;406.00 mg;1346.00 mg;3.2 mcg;2.66 mg;25.33 g;1.062 g;1.568 g;3.063 g;0.276 g;3.862 g;0.989 g;0.705 g;0;1.118 g;2.022 g;1.738 g;0.381 g;1.370 g;1.074 g;1.378 g;1.066 g;0.300 g;0.713 g;1.325 g;58.33 g;24.9 g;0;0;0;0;0;0;0;0.45 g;0.065 g;0.035 g;0.249 g;0.00 mg;0;4.00 g;0;0;11.90 g
