id;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;hydroxyproline;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
1109;Pork, raw, backfat, fresh;100 g;812;89g;32g;57mg;11.00 mg;15.4 mg;1.00 mcg;0.00 mcg;0.985 mg;0.115 mg;0.051 mg;0.084 mg;15.00 IU;5.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.18 mcg;0.040 mg;0.1 mg;122.00 IU;0.00 mg;0.00 mg;0.0 mcg;2.00 mg;0.018 mg;0.18 mg;2.00 mg;0.002 mg;38.00 mg;65.00 mg;8.0 mcg;0.37 mg;2.92 g;0.170 g;0.182 g;0.271 g;0.037 g;0.457 g;0.139 g;0.117 g;0;0.137 g;0.234 g;0.263 g;0.077 g;0.117 g;0.117 g;0.121 g;0.133 g;0.037 g;0.102 g;0.158 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;88.69 g;32.210 g;41.950 g;10.350 g;57.00 mg;0.0 g;0.70 g;0.00 mg;0.00 mg;7.69 g
6462;Margarine-like spread, SMART BEAT Super Light without saturated fat;100 g;158;17g;2.2g;0;755.00 mg;0;0;0;0;0;0;0;4489.00 IU;0;0;0;0;0;0;0;0;0;0;1.70 mg;1.70 mg;12.3 mcg;0;0;0;0;0;0.00 mg;12.00 mg;0;0;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;17.10 g;2.220 g;7.600 g;3.980 g;0.00 mg;0;1.91 g;0;0;80.83 g
4731;Fast foods, french fried in vegetable oil, potato;100 g;312;15g;2.3g;0;210.00 mg;36.8 mg;30.00 mcg;0.00 mcg;3.004 mg;0.580 mg;0.039 mg;0.170 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;27.00 mcg;0;0.00 mcg;0.372 mg;4.7 mg;0.00 IU;1.67 mg;1.67 mg;11.2 mcg;18.00 mg;0.124 mg;0.81 mg;35.00 mg;0.247 mg;125.00 mg;579.00 mg;0.9 mcg;0.50 mg;3.43 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.44 g;3.8 g;0.30 g;0;0;0;0;0;0;14.73 g;2.336 g;5.969 g;5.398 g;0.00 mg;0.0 g;1.85 g;0.00 mg;0.00 mg;38.55 g
6554;Beef, raw, separable lean only, bolar blade, imported, New Zealand;100 g;129;4.5g;1.3g;56mg;55.00 mg;0;0;0;3.142 mg;0.546 mg;0.109 mg;0.048 mg;21.00 IU;6.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.80 mcg;0.331 mg;0.0 mg;5.00 IU;0.40 mg;0.40 mg;0;4.00 mg;0.145 mg;2.06 mg;22.00 mg;0.013 mg;190.00 mg;325.00 mg;1.0 mcg;3.63 mg;22.09 g;1.150 g;1.453 g;0;0;3.081 g;1.203 g;0.796 g;0;0.918 g;1.667 g;1.749 g;0.727 g;0.859 g;0.709 g;0.777 g;0.800 g;0.231 g;0.743 g;0.975 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;4.49 g;1.347 g;1.680 g;0.242 g;56.00 mg;0.0 g;0.98 g;0.00 mg;0.00 mg;73.11 g
925;Cereals, dry, CREAM OF RICE;100 g;370;0.5g;0.1g;0;6.00 mg;5.9 mg;29.00 mcg;0.00 mcg;7.460 mg;0.550 mg;0.130 mg;0.510 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.195 mg;0.0 mg;0.00 IU;0.11 mg;0.11 mg;0.1 mcg;5.00 mg;0.244 mg;28.44 mg;23.00 mg;1.033 mg;124.00 mg;143.00 mg;19.0 mcg;1.12 mg;6.30 g;0.259 g;0.513 g;0.576 g;0.107 g;1.004 g;0.362 g;0.189 g;0;0.332 g;0.520 g;0.265 g;0.187 g;0.267 g;0.263 g;0.284 g;0.314 g;0.092 g;0.351 g;0.407 g;82.40 g;0.7 g;0.30 g;0;0;0;0;0;0;0.50 g;0.136 g;0.156 g;0.134 g;0.00 mg;0.0 g;0.40 g;0.00 mg;0.00 mg;10.50 g
5473;Veal, grilled, cooked, separable lean only, blade chop, shoulder;100 g;159;5.5g;2.1g;77mg;113.00 mg;137.8 mg;7.00 mcg;0.00 mcg;5.140 mg;1.180 mg;0.480 mg;0.110 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;3.66 mcg;0.435 mg;0.0 mg;40.00 IU;0.47 mg;0.47 mg;1.3 mcg;21.00 mg;0.150 mg;1.65 mg;34.00 mg;0.009 mg;253.00 mg;245.00 mg;18.4 mcg;5.07 mg;27.33 g;1.626 g;1.608 g;2.358 g;0.308 g;4.323 g;1.404 g;0.992 g;0.138 g;1.346 g;2.175 g;2.252 g;0.638 g;1.103 g;1.141 g;1.024 g;1.194 g;0.277 g;0.871 g;1.511 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;5.53 g;2.092 g;2.677 g;0.315 g;77.00 mg;0.0 g;0.95 g;0.00 mg;0.00 mg;66.44 g
4424;Babyfood, strained, applesauce and pineapple, fruit;100 g;37;0.1g;;0;2.00 mg;0;2.00 mcg;0.00 mcg;0.078 mg;0.101 mg;0.026 mg;0.021 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.039 mg;28.1 mg;0;0.60 mg;0.60 mg;0;4.00 mg;0.035 mg;0.10 mg;3.00 mg;0;6.00 mg;78.00 mg;0.3 mcg;0.02 mg;0.10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.10 g;1.5 g;0;0;0;0;0;0;0;0.10 g;0.010 g;0.009 g;0.032 g;0.00 mg;0.0 g;0.20 g;0;0;89.50 g
8178;"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck";100 g;227;14g;5.7g;93mg;73.00 mg;90.0 mg;6.00 mcg;0.00 mcg;3.591 mg;0.909 mg;0.243 mg;0.089 mg;23.00 IU;7.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;3.68 mcg;0.413 mg;0.0 mg;5.00 IU;0.08 mg;0.08 mg;1.6 mcg;13.00 mg;0.108 mg;3.26 mg;23.00 mg;0.016 mg;202.00 mg;310.00 mg;29.9 mcg;9.85 mg;26.18 g;1.493 g;1.723 g;2.348 g;0.275 g;4.140 g;1.194 g;0.848 g;0.179 g;1.113 g;2.106 g;2.289 g;0.743 g;0.996 g;1.076 g;1.005 g;1.152 g;0.295 g;0.903 g;1.183 g;0.21 g;0.0 g;0.00 g;0;0;0;0;0;0;13.54 g;5.692 g;6.809 g;0.790 g;93.00 mg;0.0 g;0.99 g;0.00 mg;0.00 mg;59.08 g
5474;Cereals ready-to-eat, KELLOGG'S MARSHMALLOW FROOT LOOPS, KELLOGG;100 g;376;2.8g;1.5g;0;393.00 mg;5.8 mg;345.00 mcg;326.00 mcg;17.200 mg;0;1.470 mg;1.280 mg;1724.00 IU;507.00 mcg;12.00 mcg;19.00 mcg;0.00 mcg;283.00 mcg;0;5.19 mcg;1.720 mg;52.0 mg;138.00 IU;0.30 mg;0.30 mg;0.6 mcg;9.00 mg;0.086 mg;15.50 mg;25.00 mg;0;65.00 mg;95.00 mg;8.5 mcg;5.19 mg;4.59 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.30 g;7.4 g;49.90 g;0;0;0;0;0;0;2.79 g;1.500 g;0.500 g;0.690 g;0.00 mg;0.0 g;0.80 g;0.00 mg;0.00 mg;2.50 g
6428;PREGO Pasta, ready-to-serve, Basil and Garlic Italian Sauce, Tomato;100 g;64;2g;;0;336.00 mg;0;0;0;0;0;0;0;400.00 IU;0;0;0;0;0;0;0;0;1.0 mg;0;0;0;0;16.00 mg;0;0.58 mg;0;0;0;320.00 mg;0;0;1.60 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.60 g;2.4 g;7.20 g;0;0;0;0;0;0;2.00 g;0.000 g;0;0;0.00 mg;0;2.90 g;0;0;83.50 g
